Program,Solarize CT, Date of Application,Completed,Electric Utility,County,Municipality, Zip Code,Contractor,System Owner,System Financing,System Size (kW STC),Total System Costs,Total Incentive  Approved, Estimated Annual Production  (kWh) 
PBI,No,2/4/2013,3/28/2013,Eversource Energy,Fairfield,Bethel,06801,SolarCity,Does Not Apply,PPA,6.48,"$32,238.00","$13,734.30"," 7,379 "
PBI,No,2/4/2013,3/6/2013,Eversource Energy,Litchfield,New Hartford,06057,SolarCity,Does Not Apply,PPA,3.43,"$17,064.25","$4,794.30"," 3,906 "
PBI,No,2/4/2013,3/21/2013,Eversource Energy,Litchfield,New Milford,06776,SolarCity,Does Not Apply,PPA,10.56,"$52,536.00","$16,656.90"," 12,026 "
PBI,No,2/4/2013,3/15/2013,Eversource Energy,Hartford,Southington,06489,SolarCity,Does Not Apply,PPA,6.24,"$31,044.00","$9,311.40"," 7,106 "
PBI,No,2/4/2013,3/20/2013,Eversource Energy,New Haven,Cheshire,06410,SolarCity,SolarCity,PPA,7.26,"$36,118.50","$9,378.90"," 8,268 "
PBI,No,2/4/2013,3/15/2013,Eversource Energy,Windham,Brooklyn,06234,SolarCity,Does Not Apply,PPA,5.76,"$28,656.00","$12,671.40"," 6,559 "
EPBB,Yes,2/4/2013,10/2/2013,Eversource Energy,Middlesex,Portland,06480,RGS Energy,Does Not Apply,Other Homeowner Purchase,9.80,"$37,828.00","$13,731.00"," 11,160 "
EPBB,Yes,2/4/2013,5/7/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,6.00,"$23,500.00","$11,279.00"," 6,833 "
EPBB,Yes,2/4/2013,6/25/2013,Eversource Energy,Middlesex,Durham,06422,BeFree Green Energy,Does Not Apply,Other Homeowner Purchase,11.00,"$38,500.00","$12,101.00"," 12,527 "
PBI,Yes,2/5/2013,12/3/2013,United Illuminating,Fairfield,Fairfield,06825,Direct Energy Solar,NRG Residential Solar Solutions,Lease,6.75,"$23,963.00","$9,919.35"," 7,687 "
