"Town","FIPS","Year","Measure Type","Variable","Value"
"Enfield","0900325990","2010-2014","Number","Margins of Error",3009
"Enfield","0900325990","2010-2014","Ratio to State Median","Median Home Value",0.7
"Enfield","0900325990","2010-2014","Ratio to State Median","Margins of Error",0.01
"Enfield","0900325990","2011-2015","Number","Median Home Value",186900
"Enfield","0900325990","2011-2015","Number","Margins of Error",2719
"Enfield","0900325990","2011-2015","Ratio to State Median","Median Home Value",0.69
"Enfield","0900325990","2011-2015","Ratio to State Median","Margins of Error",0.01
"Enfield","0900325990","2012-2016","Number","Median Home Value",184000
"Enfield","0900325990","2012-2016","Number","Margins of Error",2914
"Enfield","0900325990","2012-2016","Ratio to State Median","Median Home Value",0.68
"Enfield","0900325990","2012-2016","Ratio to State Median","Margins of Error",0.01
"Enfield","0900325990","2013-2017","Number","Median Home Value",185000
"Enfield","0900325990","2013-2017","Number","Margins of Error",2463
"Enfield","0900325990","2013-2017","Ratio to State Median","Median Home Value",0.68
"Enfield","0900325990","2013-2017","Ratio to State Median","Margins of Error",0.01
"Essex","0900726270","2006-2010","Number","Median Home Value",427800
"Essex","0900726270","2006-2010","Number","Margins of Error",37890
"Essex","0900726270","2006-2010","Ratio to State Median","Median Home Value",1.44
"Essex","0900726270","2006-2010","Ratio to State Median","Margins of Error",0.13
"Essex","0900726270","2007-2011","Number","Median Home Value",430600
"Essex","0900726270","2007-2011","Number","Margins of Error",42747
"Essex","0900726270","2007-2011","Ratio to State Median","Median Home Value",1.47
"Essex","0900726270","2007-2011","Ratio to State Median","Margins of Error",0.15
"Essex","0900726270","2008-2012","Number","Median Home Value",414700
"Essex","0900726270","2008-2012","Number","Margins of Error",38966
"Essex","0900726270","2008-2012","Ratio to State Median","Median Home Value",1.45
"Essex","0900726270","2008-2012","Ratio to State Median","Margins of Error",0.14
"Essex","0900726270","2009-2013","Number","Median Home Value",380500
"Essex","0900726270","2009-2013","Number","Margins of Error",24518
"Essex","0900726270","2009-2013","Ratio to State Median","Median Home Value",1.36
"Essex","0900726270","2009-2013","Ratio to State Median","Margins of Error",0.09
"Essex","0900726270","2010-2014","Number","Median Home Value",379800
"Essex","0900726270","2010-2014","Number","Margins of Error",26937
"Essex","0900726270","2010-2014","Ratio to State Median","Median Home Value",1.38
"Essex","0900726270","2010-2014","Ratio to State Median","Margins of Error",0.1
"Essex","0900726270","2011-2015","Number","Median Home Value",370600
"Essex","0900726270","2011-2015","Number","Margins of Error",23269
"Essex","0900726270","2011-2015","Ratio to State Median","Median Home Value",1.37
"Essex","0900726270","2011-2015","Ratio to State Median","Margins of Error",0.09
"Essex","0900726270","2012-2016","Number","Median Home Value",363600
"Essex","0900726270","2012-2016","Number","Margins of Error",22637
"Essex","0900726270","2012-2016","Ratio to State Median","Median Home Value",1.35
"Essex","0900726270","2012-2016","Ratio to State Median","Margins of Error",0.08
"Essex","0900726270","2013-2017","Number","Median Home Value",360600
"Essex","0900726270","2013-2017","Number","Margins of Error",19330
"Essex","0900726270","2013-2017","Ratio to State Median","Median Home Value",1.34
"Essex","0900726270","2013-2017","Ratio to State Median","Margins of Error",0.07
"Fairfield","0900126620","2006-2010","Number","Median Home Value",629700
"Fairfield","0900126620","2006-2010","Number","Margins of Error",12456
"Fairfield","0900126620","2006-2010","Ratio to State Median","Median Home Value",2.12
"Fairfield","0900126620","2006-2010","Ratio to State Median","Margins of Error",0.04
"Fairfield","0900126620","2007-2011","Number","Median Home Value",613900
"Fairfield","0900126620","2007-2011","Number","Margins of Error",13499
"Fairfield","0900126620","2007-2011","Ratio to State Median","Median Home Value",2.09
"Fairfield","0900126620","2007-2011","Ratio to State Median","Margins of Error",0.05
"Fairfield","0900126620","2008-2012","Number","Median Home Value",599300
"Fairfield","0900126620","2008-2012","Number","Margins of Error",11677
"Fairfield","0900126620","2008-2012","Ratio to State Median","Median Home Value",2.1
"Fairfield","0900126620","2008-2012","Ratio to State Median","Margins of Error",0.04
"Fairfield","0900126620","2009-2013","Number","Median Home Value",591400
"Fairfield","0900126620","2009-2013","Number","Margins of Error",13007
"Fairfield","0900126620","2009-2013","Ratio to State Median","Median Home Value",2.12
"Fairfield","0900126620","2009-2013","Ratio to State Median","Margins of Error",0.05
"Fairfield","0900126620","2010-2014","Number","Median Home Value",575000
"Fairfield","0900126620","2010-2014","Number","Margins of Error",13702
"Fairfield","0900126620","2010-2014","Ratio to State Median","Median Home Value",2.09
"Fairfield","0900126620","2010-2014","Ratio to State Median","Margins of Error",0.05
"Fairfield","0900126620","2011-2015","Number","Median Home Value",578900
"Fairfield","0900126620","2011-2015","Number","Margins of Error",12209
"Fairfield","0900126620","2011-2015","Ratio to State Median","Median Home Value",2.14
"Fairfield","0900126620","2011-2015","Ratio to State Median","Margins of Error",0.05
"Fairfield","0900126620","2012-2016","Number","Median Home Value",589500
"Fairfield","0900126620","2012-2016","Number","Margins of Error",11676
"Fairfield","0900126620","2012-2016","Ratio to State Median","Median Home Value",2.19
"Fairfield","0900126620","2012-2016","Ratio to State Median","Margins of Error",0.04
"Fairfield","0900126620","2013-2017","Number","Median Home Value",597900
"Fairfield","0900126620","2013-2017","Number","Margins of Error",13186
"Fairfield","0900126620","2013-2017","Ratio to State Median","Median Home Value",2.21
"Fairfield","0900126620","2013-2017","Ratio to State Median","Margins of Error",0.05
"Farmington","0900327600","2006-2010","Number","Median Home Value",339900
"Farmington","0900327600","2006-2010","Number","Margins of Error",10216
"Farmington","0900327600","2006-2010","Ratio to State Median","Median Home Value",1.15
"Farmington","0900327600","2006-2010","Ratio to State Median","Margins of Error",0.03
"Farmington","0900327600","2007-2011","Number","Median Home Value",337400
"Farmington","0900327600","2007-2011","Number","Margins of Error",12450
"Farmington","0900327600","2007-2011","Ratio to State Median","Median Home Value",1.15
"Farmington","0900327600","2007-2011","Ratio to State Median","Margins of Error",0.04
"Farmington","0900327600","2008-2012","Number","Median Home Value",338400
"Farmington","0900327600","2008-2012","Number","Margins of Error",10052
"Farmington","0900327600","2008-2012","Ratio to State Median","Median Home Value",1.18
"Farmington","0900327600","2008-2012","Ratio to State Median","Margins of Error",0.04
"Farmington","0900327600","2009-2013","Number","Median Home Value",332900
"Farmington","0900327600","2009-2013","Number","Margins of Error",11184
"Farmington","0900327600","2009-2013","Ratio to State Median","Median Home Value",1.19
"Farmington","0900327600","2009-2013","Ratio to State Median","Margins of Error",0.04
"Farmington","0900327600","2010-2014","Number","Median Home Value",331300
"Farmington","0900327600","2010-2014","Number","Margins of Error",10863
"Farmington","0900327600","2010-2014","Ratio to State Median","Median Home Value",1.21
"Farmington","0900327600","2010-2014","Ratio to State Median","Margins of Error",0.04
"Farmington","0900327600","2011-2015","Number","Median Home Value",327600
"Farmington","0900327600","2011-2015","Number","Margins of Error",12934
"Farmington","0900327600","2011-2015","Ratio to State Median","Median Home Value",1.21
"Farmington","0900327600","2011-2015","Ratio to State Median","Margins of Error",0.05
"Farmington","0900327600","2012-2016","Number","Median Home Value",329900
"Farmington","0900327600","2012-2016","Number","Margins of Error",12031
"Farmington","0900327600","2012-2016","Ratio to State Median","Median Home Value",1.23
"Farmington","0900327600","2012-2016","Ratio to State Median","Margins of Error",0.04
"Farmington","0900327600","2013-2017","Number","Median Home Value",327900
"Farmington","0900327600","2013-2017","Number","Margins of Error",10998
"Farmington","0900327600","2013-2017","Ratio to State Median","Median Home Value",1.21
"Farmington","0900327600","2013-2017","Ratio to State Median","Margins of Error",0.04
"Franklin","0901129910","2006-2010","Number","Median Home Value",264400
"Franklin","0901129910","2006-2010","Number","Margins of Error",14096
"Franklin","0901129910","2006-2010","Ratio to State Median","Median Home Value",0.89
"Franklin","0901129910","2006-2010","Ratio to State Median","Margins of Error",0.05
"Franklin","0901129910","2007-2011","Number","Median Home Value",261600
"Franklin","0901129910","2007-2011","Number","Margins of Error",13134
"Franklin","0901129910","2007-2011","Ratio to State Median","Median Home Value",0.89
"Franklin","0901129910","2007-2011","Ratio to State Median","Margins of Error",0.04
"Franklin","0901129910","2008-2012","Number","Median Home Value",264400
"Franklin","0901129910","2008-2012","Number","Margins of Error",13063
"Franklin","0901129910","2008-2012","Ratio to State Median","Median Home Value",0.92
"Franklin","0901129910","2008-2012","Ratio to State Median","Margins of Error",0.05
"Franklin","0901129910","2009-2013","Number","Median Home Value",247600
"Franklin","0901129910","2009-2013","Number","Margins of Error",11713
"Franklin","0901129910","2009-2013","Ratio to State Median","Median Home Value",0.89
"Franklin","0901129910","2009-2013","Ratio to State Median","Margins of Error",0.04
"Franklin","0901129910","2010-2014","Number","Median Home Value",249200
"Franklin","0901129910","2010-2014","Number","Margins of Error",10895
"Franklin","0901129910","2010-2014","Ratio to State Median","Median Home Value",0.91
"Franklin","0901129910","2010-2014","Ratio to State Median","Margins of Error",0.04
"Franklin","0901129910","2011-2015","Number","Median Home Value",242000
"Franklin","0901129910","2011-2015","Number","Margins of Error",9561
"Franklin","0901129910","2011-2015","Ratio to State Median","Median Home Value",0.89
"Franklin","0901129910","2011-2015","Ratio to State Median","Margins of Error",0.04
"Franklin","0901129910","2012-2016","Number","Median Home Value",239900
"Franklin","0901129910","2012-2016","Number","Margins of Error",9884
"Franklin","0901129910","2012-2016","Ratio to State Median","Median Home Value",0.89
"Franklin","0901129910","2012-2016","Ratio to State Median","Margins of Error",0.04
"Franklin","0901129910","2013-2017","Number","Median Home Value",238000
"Franklin","0901129910","2013-2017","Number","Margins of Error",13006
"Franklin","0901129910","2013-2017","Ratio to State Median","Median Home Value",0.88
"Franklin","0901129910","2013-2017","Ratio to State Median","Margins of Error",0.05
"Glastonbury","0900331240","2006-2010","Number","Median Home Value",349100
"Glastonbury","0900331240","2006-2010","Number","Margins of Error",6811
"Glastonbury","0900331240","2006-2010","Ratio to State Median","Median Home Value",1.18
"Glastonbury","0900331240","2006-2010","Ratio to State Median","Margins of Error",0.02
"Glastonbury","0900331240","2007-2011","Number","Median Home Value",347500
"Glastonbury","0900331240","2007-2011","Number","Margins of Error",5999
"Glastonbury","0900331240","2007-2011","Ratio to State Median","Median Home Value",1.19
"Glastonbury","0900331240","2007-2011","Ratio to State Median","Margins of Error",0.02
"Glastonbury","0900331240","2008-2012","Number","Median Home Value",347200
"Glastonbury","0900331240","2008-2012","Number","Margins of Error",6854
"Glastonbury","0900331240","2008-2012","Ratio to State Median","Median Home Value",1.21
"Glastonbury","0900331240","2008-2012","Ratio to State Median","Margins of Error",0.02
"Glastonbury","0900331240","2009-2013","Number","Median Home Value",346700
"Glastonbury","0900331240","2009-2013","Number","Margins of Error",6882
"Glastonbury","0900331240","2009-2013","Ratio to State Median","Median Home Value",1.24
